082L025  63293016    1964 P  0    -1  0.01414     4.84   7.8662   0.0507   0.0000   0.0000   0.0000   0.0000   6.1
082L025  63293016    1964 P  0     0 21.12505   740.28  19.5208 150.3705 124.9364 121.1745 119.8971 116.7855  19.1
082L025  63293016    1964 P  0     1  1.85237   231.77  -9.0000   7.7831   0.0614   0.0607   0.0606   0.0592  10.1
082L025  63293016    1964 P  0     2  3.62284   204.07  -9.0000  21.4356  14.1423  13.9464  13.8930  13.5625  15.0
082L025  63293016    1964 P  0     3  4.70511   151.06  -9.0000  34.0070  29.3487  28.7142  28.5285  27.8061  19.9
082L025  63293016    1964 P  0     4 10.94473   153.37  -9.0000  87.1447  81.3840  78.4532  77.4150  75.3577  30.1
082L025  63293016    1964 P  7 F  -1  0.00986     3.60   7.5688   0.0352   0.0000   0.0000   0.0000   0.0000   5.9
082L025  63293016    1964 P  7 F   0 13.66830   520.42  18.1926  90.2223  72.5979  71.8060  71.5491  70.0368  18.3
082L025  63293016    1964 P  7 F   1  1.63354   205.37  -9.0000   6.7195   0.0482   0.0478   0.0477   0.0468  10.1
082L025  63293016    1964 P  7 F   2  2.56865   144.44  -9.0000  14.4917   9.3839   9.3185   9.3019   9.1142  15.0
082L025  63293016    1964 P  7 F   3  2.70424    85.46  -9.0000  18.3653  15.8059  15.6857  15.6471  15.3310  20.1
082L025  63293016    1964 P  7 F   4  6.76187    85.15  -9.0000  50.6457  47.3599  46.7540  46.5524  45.5449  31.8
082L025  63293016    1964 P  9 L  -1  0.00427     1.25   8.5521   0.0155   0.0000   0.0000   0.0000   0.0000   6.6
082L025  63293016    1964 P  9 L   0  7.45676   219.86  21.9554  60.1482  52.3385  49.3685  48.3480  46.7487  20.8
082L025  63293016    1964 P  9 L   1  0.21883    26.40  -9.0000   1.0636   0.0132   0.0129   0.0129   0.0125  10.3
082L025  63293016    1964 P  9 L   2  1.05419    59.63  -9.0000   6.9439   4.7584   4.6279   4.5911   4.4483  15.0
082L025  63293016    1964 P  9 L   3  2.00087    65.60  -9.0000  15.6416  13.5428  13.0286  12.8814  12.4751  19.7
082L025  63293016    1964 P  9 L   4  4.18286    68.22  -9.0000  36.4991  34.0241  31.6991  30.8627  29.8128  27.9
082L025  63293016    1964  
